cell_line,Description,Log(q-value),interm_inlist,days,activity,grouping
HF3177,PI3K-Akt signaling pathway,-1.769,12/339,day14,upregulated,MTOR
HF3177,Cellular Senescence,-1.786,9/196,day14,upregulated,Senescence
HF3177,Translation,-34.618,53/292,day14,downregulated,Translation
HF3177,ribonucleoprotein complex biogenesis,-29.247,59/488,day14,downregulated,Translation
HF3177,Hallmark Myc  targets V1,-15.611,29/200,day14,downregulated,MYC
HF3177,Hallmark E2F targets,-1.714,11/200,day14,downregulated,CELLCYCLE
HF3177,Hallmark epithelial mesenchymal transition,-12.655,26/200,day14,downregulated,EMT
HF3177,Hallmark MTORC1 signaling,-9.055,22/200,day14,downregulated,MTOR
HF3177,mitochondrion organization,-8.764,32/451,day14,downregulated,Energetics
HF3177,ribonucleoprotein complex biogenesis,-86.432,159/488,day42,upregulated,Translation
HF3177,Translation,-75.416,118/292,day42,upregulated,Translation
HF3177,Hallmark interferon gamma response,-62.09,90/200,day42,upregulated,Immune
HF3177,Hallmmark interferon alpha response,-57.883,64/97,day42,upregulated,Immune
HF3177,Hallmark Myc  targets V1,-45.511,76/200,day42,upregulated,MYC
HF3177,Cyclin E associated events during G1/S transition,-12.371,26/83,day42,upregulated,CELLCYCLE
HF3177,Hallmark MTORC1 signaling,-32.998,64/200,day42,upregulated,MTOR
HF3177,mitochondrion organization,-22.415,80/451,day42,upregulated,Energetics
HF3177,Hallmark oxidaive phosphoryaltion,-21.792,52/200,day42,upregulated,Energetics
HF3177,Cell Cycle,-51.646,91/611,day42,downregulated,CELLCYCLE
HF3177,Hallmark E2F targets,-40.819,52/200,day42,downregulated,CELLCYCLE
HF3177,Hallmark epithelial mesenchymal transition,-9.423,23/200,day42,downregulated,EMT
HF3177,PI3K-Akt signaling pathway,-6.753,26/354,day42,downregulated,MTOR
HF3177,Cell Cycle,-96.157,317/691,day56,upregulated,CELLCYCLE
HF3177,Hallmark E2F targets,-96.157,157/200,day56,upregulated,CELLCYCLE
HF3177,Hallmark Myc  targets V1,-58.885,115/200,day56,upregulated,MYC
HF3177,Retinoblastoma gene in cancer,-41.672,65/90,day56,upregulated,CELLCYCLE
HF3177,cytoplasmic translation,-43.279,78/123,day56,downregulated,Translation
HF3177,Hallmark TNFA signaling via NFKB,-38.506,95/200,day56,downregulated,Immune
HF3177,Hallmark glycolysis,-20.675,73/200,day56,downregulated,Energetics
HF3177,Hallmark epithelial mesenchymal transition,-22.054,75/200,day56,downregulated,EMT
HF3177,Signaling by Receptor Tyrosine Kinases,-21.305,133/524,day56,downregulated,RTK
HF3177,Hallmark p53,-17.899,69/200,day56,downregulated,P53
